ISBN10,cenaD
0062300547,16.79
0062315005,10.19
0062316095,21.60
0062368591,16.79
0062455621,8.79
0071771328,11.30
0071841814,44.48
0073523917,98.71
0077733711,330.18
0124077269,62.96
0133428532,274.74
0133769399,135.30
0133918920,193.53
0134308131,51.05
0143034758,12.16
0143109006,9.98
0143109391,12.03
0143125478,10.40
0143130153,6.87
0143130838,5.97
0205968112,183.55
0205998259,64.05
0262033844,66.32
0307352153,9.60
0307476073,9.49
0310342996,13.79
0310708257,10.50
0312384483,6.70
0312510780,3.97
0316017930,10.19
0321775651,200.76
0321809246,283.10
0321832019,16.13
0321927044,231.39
0323113435,37.24
0345404475,8.92
0345472322,9.60
0345544803,16.46
0374280096,15.09
0374500010,6.00
0374533407,9.37
0374533555,9.07
0375423222,26.25
0375714839,14.85
0375869026,9.75
0385345623,17.97
0385486804,11.49
0385494785,9.63
0385536712,12.25
0385542364,16.17
0393081087,27.47
0393317552,11.28
0393920305,49.99
0393920313,50.52
0393935809,23.07
0393935841,24.86
0394747232,9.49
0399178449,10.35
0399184864,7.04
0399226907,6.94
0399576223,15.00
0446310786,5.44
0451524934,6.00
0451526341,6.49
0486499057,2.00
0486796647,3.61
0528012797,5.32
0528015478,8.40
0528015516,14.33
0544272994,15.19
0544336267,7.19
0544609719,18.00
0544668251,11.28
0545162076,49.96
0545392551,4.96
0545795664,7.88
0545875730,7.92
0553386697,10.18
0553459600,18.00
0618871713,8.90
0670785970,12.32
0671027034,9.60
0674729013,24.55
0679805273,10.00
0679891153,5.66
0692597832,4.98
0718086953,10.51
0735214468,13.80
0743247639,10.13
0743273567,9.60
0761169083,21.34
0761169253,7.32
0761187480,10.42
0761188398,11.01
0762447699,9.60
0770433367,18.82
0789332183,10.49
0804186839,11.51
0805095152,16.35
0812974492,9.94
0812993543,14.40
0812997859,25.20
0815344325,167.54
0842336222,14.53
0877795193,5.09
0881884995,2.93
0890425558,119.31
0976423316,17.10
0982754043,13.31
0984782850,26.79
0986045519,21.67
0991193466,13.07
0995056706,8.51
0996131809,14.78
0997836512,49.99
1101881984,12.00
1101884231,7.62
1101903910,17.99
1101907452,13.09
1101919795,10.79
1101919876,10.85
1101920033,8.35
1101920041,11.45
1101982608,18.39
1101984996,17.33
1118008189,16.68
1118324579,230.81
1119225418,26.05
1119347637,52.41
1250058902,18.88
1250075726,15.55
1259587371,37.89
1285166027,200.99
1285185242,286.62
1285428943,129.07
1338099132,17.98
1400052181,7.56
1400205875,9.89
1401216676,10.16
1401261531,15.05
1401266665,8.45
1401310990,15.00
1401951619,11.89
1416242902,10.83
1416551638,10.19
1419723448,7.92
1423167228,9.10
1426216513,18.88
1429234148,227.59
1429280476,46.87
1433805618,19.98
1438007434,10.46
1440579776,9.70
1446249182,73.33
1449476198,10.66
1449478697,10.66
1449478808,12.47
1449478913,10.87
1449481337,13.08
1451639619,10.72
1451663889,9.60
1451673310,7.25
1452102988,3.48
1454815485,36.42
1455539740,27.00
1455727555,46.21
1455728101,94.63
1457304309,18.04
1465420401,24.17
1476733503,20.69
1476738025,9.04
1476791619,10.11
1476798850,16.36
1484780361,9.68
1492634336,6.34
1492634344,7.71
1492634360,9.69
1498601634,58.81
1501111108,16.80
1501117696,14.28
1501135910,17.40
1501137042,18.97
1501139886,16.80
1501141511,19.89
1501155776,16.80
1506203221,24.94
1506703356,23.99
1514716976,3.59
1522864741,7.86
1530790611,5.99
1532700008,9.89
1568989695,12.99
1571987029,6.39
1572245379,5.00
1574219952,5.99
1578052122,10.89
1582462631,6.17
1589483820,50.17
1594634025,9.60
1595586431,12.80
1596951656,3.47
1599869772,3.99
1600583970,11.97
1603292624,11.59
1604187743,3.90
1607747308,10.19
1607749769,13.16
1608196100,17.30
1609580427,9.90
1609580834,8.89
1616550414,23.37
1617750255,10.52
1621575454,17.48
1621575802,17.11
1623156122,9.21
1623363586,12.01
1624387411,11.74
1628601000,20.80
1630060585,14.99
1631211838,17.67
1631491768,16.23
1632157098,7.40
1682343367,8.99
1780671067,9.57
1878424319,6.89
1930882742,21.66
1931636850,6.61
1935589679,43.81
1941234518,11.09
1942952481,17.08
0060572345,11.190060731338,10.490060892994,11.760061124958,5.160061914177,12.920062102419,15.070062209698,9.540062225677,8.490064400557,6.120064409422,7.750064430170,6.000064431436,6.000064431789,7.810140077030,9.870140501738,6.090142401110,6.290143118757,10.220143124986,10.110143126563,10.110156027607,10.110307588378,8.920307716902,8.980307739457,12.300312353812,12.980312380038,6.070312536631,11.760316038636,8.680316098809,10.140345333926,7.190345337662,7.190345347951,7.260345350499,13.230345391802,7.190374104093,8.350375706682,14.700375714367,10.090375725784,9.490375760008,10.000375851569,27.070385349947,14.050385353618,18.320394800184,7.440394805755,9.010394820371,6.090395292034,8.760395938473,24.500399244670,13.380399255370,11.950439023521,6.700439813786,13.740440212561,6.430440406943,13.960440412676,5.000440418321,7.190441005969,15.720441172717,7.990441783589,7.110441788386,13.830446601241,6.120446676446,13.230449912558,11.760451450523,9.520451457994,5.820451524934,6.000452289963,12.260452296293,9.520547773749,8.110553418025,9.060618640150,11.490670785407,18.770688114490,12.790689707495,6.000689711735,6.000689829531,12.340743277708,11.310756402514,8.690763642649,4.870765331721,11.760765348276,6.180765356155,8.990765357151,8.090765365278,6.940786838655,6.380804137382,14.400807083690,9.040810993139,8.370811877825,10.830811879542,9.090812511816,6.680812550706,5.990886773849,8.040920236162,6.040958578346,27.401400032466,12.171400064287,17.801442419814,5.811442435607,7.191442450703,5.031442457023,12.101451673310,7.251451678193,7.631490313370,6.581512093599,8.421587170000,14.481591847613,15.141591847931,9.601594484805,9.521594634718,13.721597808210,12.981847940684,22.301876963468,13.201931082723,23.79